ROUTE,num_flights,avg_delay_minutes,delayed_percentage
EWR_IAD,4649,22.35,27.49
BTV_CLT,1813,22.34,19.31
DFW_JAC,1926,22.32,25.6
MCO_BQN,3076,22.31,30.95
CVG_CLT,5911,22.31,23.11
ORD_GEG,764,22.31,27.88
DFW_CLT,11714,22.31,27.24
LIH_PHX,1150,22.31,7.48
DCA_LIT,1059,22.29,29.56
SFO_RDD,2747,22.29,18.42
RDU_LGA,10554,22.28,23.15
MEM_PHX,1390,22.28,17.55
FLL_SAN,1099,22.27,35.12
DEN_EWR,9308,22.27,26.58
DFW_AUS,14222,22.26,28.11
CLT_OKC,2298,22.26,26.76
LGA_MCO,15378,22.26,26.34
MIA_PHL,9247,22.24,24.97
ORD_FSD,4078,22.23,27.61
CLT_MKE,3022,22.22,25.38
ORF_BOS,1064,22.22,26.13
MHT_DCA,3385,22.22,22.48
MIA_DEN,7271,22.21,25.17
FLL_PHX,1059,22.21,32.48
IND_MIA,2419,22.2,23.56
SAV_CVG,522,22.2,23.95
CLT_AGS,2276,22.2,21.7
AVL_DCA,1526,22.18,27.85
SHV_IAH,1180,22.18,22.71
CLT_DCA,9285,22.18,28.35
FLL_HPN,2747,22.17,27.34
SLC_HNL,1832,22.17,18.29
LBL_DDC,547,22.17,15.17
JFK_FLL,11391,22.16,27.36
STT_JFK,1577,22.15,22.13
TTN_MCO,1886,22.15,21.9
LAS_DFW,17110,22.15,22.4
LWS_DEN,742,22.14,17.65
JFK_ORD,7235,22.12,22.28
FOD_ORD,1358,22.12,18.19
EWR_SLC,3457,22.12,24.04
STX_FLL,790,22.1,30.63
HSV_DFW,5806,22.1,24.32
CLE_TPA,3089,22.08,26.09
BTR_DFW,5514,22.08,21.02
ROA_ORD,2047,22.07,21.54
SFB_ATW,591,22.06,25.21
SFB_GRR,1131,22.06,26.17
MIA_PIT,1879,22.05,26.66
ORD_CRW,2677,22.05,25.7
DEN_ORF,1691,22.03,31.52
ORD_TYS,5168,22.02,25.17
FLL_BQN,1100,22.01,31.55
ORF_MCO,2244,22.01,25.85
LIT_ORD,3791,22.0,25.4
XNA_DFW,9384,22.0,23.01
DFW_GSP,3201,22.0,28.33
LAS_JFK,10035,21.99,22.34
PIT_PHL,4415,21.99,23.67
MIA_MSY,5097,21.99,28.17
BQN_MCO,3078,21.99,26.8
DFW_ABQ,6965,21.98,28.87
CLT_ONT,984,21.98,31.4
MHK_ORD,704,21.98,18.89
BFL_DFW,1417,21.98,19.41
DFW_PHL,10057,21.95,27.41
EWR_MSP,6643,21.94,22.49
PBI_DTW,1233,21.94,25.63
SPS_DFW,2115,21.93,17.54
TXK_DFW,2459,21.92,18.83
GGG_DFW,2125,21.92,18.82
FLL_PVD,1491,21.91,31.25
AEX_DFW,3157,21.91,21.19
FSD_ORD,4085,21.91,22.13
CLT_DSM,2231,21.91,27.39
JFK_DFW,5782,21.9,23.3
LBL_DEN,1214,21.9,18.7
TPA_PHL,7583,21.9,22.87
EWR_ORD,17175,21.9,25.99
MEM_MIA,1261,21.9,16.81
FLL_ATL,21941,21.89,27.91
LIT_IAH,1211,21.89,23.86
ATL_JFK,11452,21.88,25.62
CLT_SNA,924,21.88,26.52
FLL_DCA,7019,21.87,27.57
IAH_CRP,957,21.87,20.06
IAH_CHS,875,21.87,28.0
IAH_AMA,791,21.87,20.73
SAV_EWR,2934,21.85,18.44
DFW_BOI,2378,21.85,29.98
CLE_LAS,2783,21.84,26.12
LAS_FLL,2797,21.84,28.07
BOS_TPA,8205,21.84,26.97
MIA_STL,2783,21.84,28.57
JMS_DVL,821,21.84,13.28
DEN_MIA,7273,21.83,28.52
EWR_ATL,17635,21.83,24.43
IAH_ICT,1593,21.82,23.54
IAH_HNL,1173,21.81,29.92
MSO_DEN,3353,21.8,23.05
RDU_DFW,6270,21.8,22.63
SDF_FLL,1206,21.8,26.37
CVG_SRQ,810,21.8,25.43
SBA_SFO,3914,21.79,26.8
EWR_FLL,15135,21.78,25.81
ICT_DFW,7460,21.78,22.57
DFW_TUS,6541,21.77,27.9
